region,value
afghanistan,1560981130
azerbaijan,6247234930
mexico,49586715080
macedonia,971288460
myanmar,387925600
montenegro,195794100
mongolia,1171792700
malaysia,23068494160
namibia,398555970
nigeria,25078731830
nicaragua,2148809780
nepal,1358678840
oman,4475081970
pakistan,44389348040
panama,1359585960
peru,26444359390
philippines,8773290980
poland,21874698760
portugal,393233370
paraguay,962852790
palestine,1164456860
qatar,2141018120
romania,199816790
russia,15630971720
saudi arabia,15520746190
sudan,3516571860
solomon islands,191459150
el salvador,4111027950
somalia,191866310
republic of serbia,962400290
slovakia,988790880
bangladesh,6017934340
syria,1766826730
trinidad and tobago,1174963610
turkey,37451615860
taiwan,41882436280
ukraine,9926461400
uruguay,8597409330
united states of america,195772680
uzbekistan,773661160
the bahamas,195983150
venezuela,9384389350
vietnam,52711660200
yemen,198667390
south africa,1172344650
zambia,197269610
bosnia and herzegovina,580852500
belarus,776570340
albania,770434240
belize,194119420
bolivia,3109212230
brazil,51267971600
brunei,971751890
bhutan,583703920
canada,195261180
united arab emirates,193321010
china,159916701640
ivory coast,197398370
colombia,40889796470
cuba,2731635660
argentina,24499527110
czech republic,190599480
germany,192439430
dominican republic,5686286960
algeria,1750388790
ecuador,8811681400
egypt,13720363370
spain,1749164330
armenia,387472940
estonia,777893760
ethiopia,2734400210
finland,1944670480
georgia,778006200
ghana,4286346950
greece,3698374810
guatemala,2355505340
guyana,199046010
honduras,397203160
croatia,198599390
haiti,578819730
india,43198931710
iran,5106106560
iraq,4886409210
italy,196921270
australia,49499420930
jamaica,589193970
jordan,4512794830
japan,964927360
kazakhstan,983502560
kyrgyzstan,386749020
cambodia,769644010
south korea,582650910
kuwait,4303379610
lebanon,2354997670
libya,1956986610
sri lanka,578198610
lithuania,195008200
latvia,193580780
